id,date,sentence,growth_sentiment_final,employment_sentiment_final,inflation_sentiment_final
11901,2015-04-08,"Imports rose in December, with an increased volume of petroleum imports, but declined in January, driven by lower prices and volumes for petroleum.",neutral,neutral,neutral
11902,2015-04-08,"Commercial and industrial loans on banks' books continued to expand strongly, reportedly in part to fund increased merger and acquisition activity.",positive,neutral,neutral
11903,2015-05-20,"Measures of residential mortgage lending conditions were generally little changed over the intermeeting period, and lending volumes remained light.",neutral,neutral,neutral
11904,2015-07-08,Most participants judged that the conditions for policy firming had not yet been achieved; a number of them cautioned against a premature decision.,neutral,neutral,neutral
11905,2015-08-19,Many members thought that labor market underutilization would be largely eliminated in the near term if economic activity evolved as they expected.,positive,positive,neutral
11906,2015-10-08,"Available indicators of drilling activity, such as counts of rigs in operation, suggested spending would decline less rapidly in the third quarter.",negative,neutral,neutral
11907,2015-10-08,"On net, the level of GDP was anticipated to rise above its potential next year, and that gap was projected to widen gradually over the medium term.",positive,neutral,neutral
11908,2016-02-17,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",negative,negative,neutral
11909,2016-04-06,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",negative,negative,neutral
11910,2016-05-18,"Manufacturing output decreased, partly reflecting the effects on export demand of earlier appreciation of the foreign exchange value of the dollar.",negative,neutral,neutral
11911,2016-05-18,Information on extraction and drilling activity for crude oil and natural gas in early April was consistent with further declines in mining output.,negative,neutral,neutral
11912,2016-05-18,Credit conditions in municipal bond markets continued to be stable even as the situation facing Puerto Rico and its creditors deteriorated further.,neutral,neutral,neutral
11913,2016-05-18,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",negative,negative,neutral
11914,2016-07-06,"The employment report for May showed considerably weaker growth in payrolls than had been expected, and gains in previous months were revised down.",neutral,negative,neutral
11915,2016-07-06,Almost all participants judged that the surprisingly weak May employment report increased their uncertainty about the outlook for the labor market.,neutral,negative,neutral
11916,2016-08-17,"Equity price indexes increased, on net, despite an initial sharp decline following the Brexit vote, and corporate bond spreads declined on balance.",positive,neutral,neutral
11917,2016-08-17,Participants discussed the implications of recent economic and financial developments for the economic outlook and the risks attending the outlook.,neutral,neutral,neutral
11918,2016-10-12,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11919,2016-10-12,"Although payrolls for state and local governments expanded in July and August, nominal construction spending by these governments declined in July.",negative,positive,neutral
11920,2016-11-23,Yield spreads for securities backed by credit card and auto loans over Treasury securities of comparable maturities were little changed on balance.,neutral,neutral,neutral
11921,2016-11-23,"Participants noted that economic growth in many foreign economies remained subdued, and that inflation rates abroad generally were still quite low.",negative,neutral,positive
11922,2017-02-22,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11923,2017-08-16,Reports from District contacts on both manufacturing and services were also generally consistent with moderate growth in economic activity overall.,positive,neutral,neutral
11924,2017-11-22,Credit bureau data on loan originations and credit limits suggested that this tightening was most pronounced in the subprime segment of the market.,negative,neutral,neutral
11925,2017-11-22,"Although the hurricanes depressed payroll employment in September, the unemployment rate, which was less affected by the storms, declined further.",neutral,positive,neutral
11926,2018-02-21,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11927,2018-02-21,Incoming data suggested that economic activity abroad continued to expand at a solid pace and that this expansion was broad based across countries.,positive,neutral,neutral
11928,2018-04-11,Recent data suggest that growth rates of household spending and business fixed investment have moderated from their strong fourth-quarter readings.,positive,neutral,neutral
11929,2018-05-23,"In addition, a few observed that the neutral level of the federal funds rate might currently be lower than their estimates of its longer-run level.",neutral,neutral,neutral
11930,2018-11-29,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",positive,neutral,neutral
11931,2018-11-29,"Some contacts indicated that while input costs were higher, it appeared that the pass-through of these higher costs to consumer prices was limited.",neutral,neutral,neutral
11932,2018-11-29,"Household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier in the year.",positive,neutral,neutral
11933,2019-01-09,Some participants expressed an interest in learning more about possible options for new ceiling tools to provide firmer control of the policy rate.,neutral,neutral,neutral
11934,2019-01-09,"Exports declined a little, with decreases in exports of agricultural products and capital goods, although exports of industrial supplies increased.",neutral,neutral,neutral
11935,2019-01-09,"The U.S. dollar appreciated modestly; although declines in U.S. yields weighed on the dollar, deteriorating global risk sentiment provided support.",neutral,neutral,positive
11936,2019-01-09,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",positive,neutral,neutral
11937,2019-01-09,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",positive,neutral,neutral
11938,2019-01-09,"Household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier in the year.",positive,neutral,neutral
11939,2019-02-20,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11940,2019-04-10,"Total PCE price inflation was forecast to run a bit below core inflation over the next three years, reflecting projected declines in energy prices.",neutral,neutral,positive
11942,2019-05-22,These factors were thought to have helped buoy consumer and business confidence or to have mitigated short-term downside risks to the real economy.,positive,neutral,neutral
11943,2019-07-10,"Equity prices fell notably over the first few weeks of the period, primarily in response to the escalation of trade tensions with China and Mexico.",negative,neutral,neutral
11944,2019-10-09,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,positive,positive,neutral
11945,2019-11-20,"Moreover, participants generally expected that trade uncertainty and sluggish global growth would continue to damp investment spending and exports.",negative,neutral,neutral
11946,2020-01-03,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,positive,positive,neutral
11947,2020-02-19,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11948,2020-02-19,"Available monthly data suggested that imports fell significantly, led by declines in consumer goods and automobiles, while exports were about flat.",negative,neutral,neutral
11950,2020-05-20,"This reading highlighted possible vulnerabilities in mortgage servicers, insurance companies, and large, highly leveraged financial intermediaries.",negative,neutral,neutral
11951,2020-10-07,"The unemployment rates for African Americans, Asians, and Hispanics declined over the past two months but remained well above the national average.",neutral,positive,neutral
11952,2020-10-07,Foreign economic activity plunged in the second quarter as a result of the COVID-19 pandemic and the associated restrictive measures to contain it.,negative,neutral,neutral
11953,2020-11-25,"Total nonfarm payroll employment expanded strongly in September, but the gain was markedly below the even larger increases seen in previous months.",neutral,positive,neutral
11954,2020-11-25,Uncertainty about additional U.S. fiscal stimulus and the outcome of the U.S. presidential election also caused some asset price volatility abroad.,negative,neutral,neutral
11955,2020-11-25,"However, the uncertainty surrounding earning prospects was reportedly making many business owners less willing to take on debt at prevailing terms.",negative,neutral,neutral
11956,2021-01-06,Market participants had highlighted that uncertainty nevertheless remained high and had pointed to several prominent risks to the economic outlook.,negative,neutral,neutral
11957,2021-01-06,Short-term delinquencies and defaults remained relatively elevated but significantly lower than the levels observed following the financial crisis.,negative,neutral,neutral
11958,2021-02-17,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11960,2021-05-19,Total PCE price inflation was 1.6 percent over the 12 months ending in February and continued to be held down by low rates of resource utilization.,negative,neutral,positive
11961,2021-05-19,The staff noted that corporate bond spreads had declined notably since late last year and were at the lower ends of their historical distributions.,positive,neutral,neutral
11962,2021-07-07,"Lower term premiums appeared to be a significant component of the declines, as reflected by lower implied volatility on longer-term interest rates.",negative,neutral,neutral
